SAMPLE,FRISERVE,SATSERVE,SUNAMSER,SUNPMSER,SERVICES,FRIATT,SATATT,SUNAMATT,SUNPMATT,ATTENSUM,ATTDIFF,SIMSTYLE,WORSHCH,OTHLANG,LANGLIST,WORSH10,WORSH09,WORSH08,WORSH07,WORSH06,WORSH05,YRORG,CHOIR,ORGAN,DRUMS,ELECTRIC,SCREEN,KNEEL,COMMUN,KIDREAD,REVERENT,GODTHERE,JOYFUL,INNOVATE,INSPIRE,THOUGHT,SSCHOOL,PRAYER,BIBSTUDY,FELLOWSH,MUSIC,ADFORM,RETREAT,SUPPORTG,COMMSERV,PARENT,YADULT,YOUTHACT,SPORTS,RECRUIT,EVENTS,NOVISIT,NOCONTAC,BYMAIL,BYPHONE,BYEMAIL,BYVISIT,BYMATER,SOUP_N,SOUP_Y1,SOUP_Y2,CASH_N,CASH_Y1,CASH_Y2,DCARE_N,DCARE_Y1,DCARE_Y2,TUTOR_N,TUTOR_Y1,TUTOR_Y2,HEALTH_N,HEALTHY1,HEALTHY2,COMORG_N,COMORGY1,COMORGY2,JOBED_N,JOBED_Y1,JOBED_Y2,FINED_N,FINED_Y1,FINED_Y2,OLDPRO_N,OLDPROY1,OLDPROY2,VOTEED_N,VOTEEDY1,VOTEEDY2,IMMIPRON,IMMIPRY1,IMMIPRY2,GOODPRAY,STUDYBIB,GOODFAST,GOODHOLY,GOODVEG,NOSHACK,DEVOTION,PARENTS,EMAIL,WEBSITE,BLOGS,FACEBOOK,PODCASTS,OTHTECH,TECH1,FAMILY,VITAL,NODIFF,PURPOSE,BEACON,CHANGE,WANTGROW,BELIEFS,OKDENOM,DIVERSE,JUSTICE,THEOLIB,NATAMS,ASIANS,PACIFICI,BLACKS,HISPANIC,WHITE,MULTI,RACETOT,RACEDIFF,PCTBLACK,PCTWHITE,PCTHISP,PCTASIAN,PCTPACIS,PCTNATAM,PCTMULTI,RACE,SENIORS,MIDDLEAG,MEDADULT,YADULTS,KIDYTH,CUMAGE,MEMBERS,EVERYONE,FEMALES,COLLEGE,NEWMEMB,LIFELONG,NEARBY,LEADTYPE,ORDAINED,CALL,LEADAGE,EMPLOY,LEADSEX,CLEGEDU,LEADRACE,LEADRAC2,YEARCALL,LEADWORS,LEADVIS,DOEVAN,DOTRAIN,DOCARE,DOTEACH,DOSMALL,DOADMIN,DOREPRES,WORKYADS,DEALARGU,SPEGROUP,YEARSMET,MONTHMET,FULLORD,PARTORD,FULLADM,PARTADM,FULLPROG,PARTPROG,FULLSEC,PARTSEC,FULLCUST,PARTCUST,FULLOTH,PARTOTH,MIXVOLS,JOINT_N,JOINT_Y1,JOINT_Y2,CELEB_N,CELEB_Y1,CELEB_Y2,EDFEL_N,EDFEL_Y1,EDFEL_Y2,COMM_N,COMM_Y1,COMM_Y2,CONCASHN,CONCASH1,CONCASH2,CONCASH3,CONCASH4,CONWORSN,CONWORS1,CONWORS2,CONWORS3,CONWORS4,CONPROGN,CONPROG1,CONPROG2,CONPROG3,CONPROG4,CONSYNNO,CONSYN1,CONSYN2,CONSYN3,CONSYN4,CONLEADN,CONLEAD1,CONLEAD2,CONLEAD3,CONLEAD4,CONLACTN,CONLACT1,CONLACT2,CONLACT3,CONLACT4,CONMACTN,CONMACT1,CONMACT2,CONMACT3,CONMACT4,CONFACNO,CONFAC1,CONFAC2,CONFAC3,CONFAC4,BUDGET,PCTSTAFF,PCTBLDGR,PCTPROG,PCTMISS,PCTOTHER,FINTOTAL,FINANCES,FINAN05,ECONOMY,LAYOFFS,PAYCUTS,DELAYS,INVEST,MISSION,CAPITAL,COUNSEL,CASHNEED,HOUSNEED,NOWORK,PLACE,SEATING,WORSHSIZ,PARKSIZ,I_ATTEND,I_SIZPLACE,I_THEOLOGY
22,0,0,1,0,1,0,0,135,0,135,0,2,3,1,,135,130,135,115,120,110,1992,1,1,5,5,5,4,3,2,3,4,4,3,4,4,3,3,2,2,3,3,2,1,2,1,2,3,1,3,2,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,4,4,3,3,1,5,4,4,1,1,0,1,0,,,4,4,2,4,3,4,5,5,5,5,3,4,0,0,0,5,15,100,15,135,0,3.703703704,74.07407407,11.11111111,0,0,0,11.11111111,6,20,20,35,10,15,100,135,160,60,35,35,20,40,1,2,1,49,1,1,2,White,6,2002,2,2,2,2,2,3,3,3,3,2,2,1,9,0,1,2,0,0,0,0,1,0,0,1,,,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,325000,30,15,12,28,15,100,3,1,2,1,3,3,3,2,2,2,3,2,3,2,450,3,2,3,2,4
22,0,0,2,0,2,0,0,225,0,225,-1,2,3,1,,224,224,222,190,178,156,1979,1,1,5,5,5,2,4,3,3,4,4,3,4,3,2,2,2,2,2,2,2,2,3,2,2,2,1,4,3,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,3,3,3,1,4,3,4,1,1,0,1,1,1,"YouTube, twitter [youth]",3,4,2,4,3,4,4,4,3,5,4,5,0,23,3,38,24,200,14,302,2,12.58278146,66.22516556,7.947019868,7.61589404,0.993377483,0,4.635761589,6,8,15,30,15,32,100,300,350,56,50,43,4,24,1,2,1,47,1,1,2,White,6,2003,3,3,2,2,2,2,2,3,2,2,2,2,,,1,0,1,0,2,0,0,0,0,0,,3,2,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,516126,44,23,13,16,4,100,5,4,5,1,2,2,1,1,1,2,3,1,2,6,155,1,1,3,6,5
22,0,0,1,0,1,,,,,,,1,1,1,,166,,,,,,,,,5,5,5,3,3,2,,,5,,5,5,3,2,3,2,4,3,1,1,2,2,2,2,1,3,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,5,5,4,3,1,4,4,5,1,1,0,0,1,,,5,5,4,5,,4,5,5,3,5,3,5,0,2,0,25,17,121,2,167,,14.97005988,72.45508982,10.17964072,1.19760479,0,0,1.19760479,6,40,40,10,10,0,100,,200,50,30,,1,85,1,2,1,54,1,1,5,Caucasian,6,1994,2,4,3,3,4,4,3,4,4,3,3,1,17,0,2,0,0,0,0,0,3,0,1,0,30,,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,5,1,2,1,1,1,1,1,1,1,1,1,1,,,,,3,,5
22,0,0,1,1,2,0,0,50,18,68,-3,2,2,1,,65,40,30,25,20,20,2003,1,1,5,3,5,3,4,3,4,5,5,4,5,5,1,3,4,3,4,4,2,1,2,1,1,4,1,5,3,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5,5,2,2,1,3,5,4,1,1,0,1,0,,,5,5,2,5,4,5,5,5,4,5,4,4,0,0,0,0,8,42,0,50,0,0,84,16,0,0,0,0,6,15,30,20,20,15,100,50,90,60,35,75,50,40,1,2,1,64,1,1,3,Caucasian,6,2003,1,3,4,4,4,4,3,3,4,2,3,1,3,0,0,2,0,0,0,0,0,0,0,0,,,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,100000,30,55,5,5,5,100,2,4,2,1,1,1,4,2,4,3,4,4,3,3,200,4,4,2,3,4
22,0,0,1,1,2,,,,,,,2,3,1,,160,150,185,190,160,200,1936,1,1,5,5,5,5,3,3,4,4,3,3,3,4,2,2,2,3,3,3,2,1,2,1,2,2,1,2,3,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,4,3,4,1,4,4,4,1,1,0,1,0,,,3,2,3,3,4,2,2,4,3,1,1,2,1,0,0,1,1,107,0,110,0,0.909090909,97.27272727,0.909090909,0,0,0.909090909,0,6,60,5,5,20,10,100,110,20,70,3,60,5,90,2,2,1,41,1,1,3,Caucasian,6,2004,3,2,2,2,2,3,2,2,2,2,3,2,,,1,0,0,0,0,1,0,1,0,1,,,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,190000,40,10,30,10,10,100,3,,5,1,1,1,2,1,1,1,4,3,2,4,150,3,3,3,4,2
22,0,0,2,0,2,0,0,600,0,600,0,2,3,2,Spanish,600,500,500,700,800,800,1948,4,1,5,5,5,3,3,2,4,4,3,3,3,3,1,3,3,2,2,2,3,1,3,2,2,3,2,3,3,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3,4,3,2,1,1,3,4,1,0,0,1,0,,,3,4,2,4,4,4,5,4,3,4,4,5,0,0,0,0,550,50,0,600,0,0,8.333333333,91.66666667,0,0,0,0,5,10,30,40,5,15,100,600,2500,60,5,60,20,90,1,2,1,49,1,1,3,Latino,5,1995,1,3,3,2,2,3,2,4,3,2,3,1,15,6,3,1,0,0,0,1,2,0,1,0,,,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,550000,40,20,15,25,0,100,3,4,3,3,3,4,4,2,4,2,3,2,2,5,350,2,5,5,5,5
22,0,0,2,0,2,0,0,75,0,75,0,4,3,2,Spanish,75,75,75,,,,,1,3,4,4,2,4,3,3,4,4,4,3,4,4,4,3,3,4,3,2,4,1,2,2,2,3,1,3,2,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,5,,1,1,3,1,4,1,0,0,1,0,,,4,5,2,4,4,4,4,4,3,4,2,4,0,0,0,0,50,0,0,50,0,0,0,100,0,0,0,0,5,30,40,10,10,10,100,50,110,60,10,30,50,100,1,2,1,45,1,2,3,Hispanic,5,2006,2,3,2,4,3,4,4,3,4,2,3,1,,,1,0,0,0,0,0,0,0,0,1,,,2,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,,,,,,,,5,5,4,1,2,1,1,1,1,2,2,1,2,2,200,3,2,2,2,4
22,0,0,1,0,1,0,0,55,0,55,0,1,3,1,,55,50,50,40,35,30,1991,1,1,4,5,5,1,3,2,3,4,4,2,3,3,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,4,3,2,1,5,4,4,1,0,1,0,0,,,3,2,2,4,4,3,4,4,2,3,4,5,0,0,0,0,0,58,2,60,0,0,96.66666667,0,0,0,0,3.333333333,6,10,20,30,10,30,100,60,100,50,20,10,1,95,2,2,1,37,3,1,2,White,6,2005,3,2,3,2,1,2,1,3,4,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40000,25,25,10,15,25,100,1,3,1,1,1,1,1,1,1,2,3,1,2,1,70,2,2,2,1,5
22,0,0,1,0,1,0,0,65,0,65,-5,3,4,1,,60,50,40,20,,,,1,1,5,5,5,1,4,3,3,4,5,4,5,4,2,2,3,3,3,1,2,1,1,1,3,3,1,4,3,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,4,2,3,1,5,3,3,1,0,0,1,0,,,4,4,2,4,3,4,5,5,4,5,3,4,1,0,0,12,21,35,6,75,0,16,46.66666667,28,0,0,1.333333333,8,7,0,15,40,20,25,100,75,,55,25,100,25,30,1,2,1,31,3,1,2,White,6,2010,1,3,3,3,2,4,3,3,1,3,2,1,,,0,3,0,0,0,1,0,1,0,1,,,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,70000,65,20,5,5,5,100,2,,1,1,2,1,1,3,1,2,4,1,4,5,115,2,3,2,5,4
22,0,0,1,1,2,0,0,45,12,57,-7,3,1,1,,50,35,30,45,60,75,1997,1,1,5,3,5,1,4,3,4,4,5,4,4,4,1,3,3,3,3,3,1,3,3,1,2,3,1,4,3,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,4,3,4,1,4,3,4,1,1,1,1,1,,,5,4,2,4,4,4,4,4,4,3,3,5,0,0,0,0,0,45,0,45,0,0,100,0,0,0,0,0,6,5,20,50,10,15,100,45,45,50,20,50,5,10,2,2,1,50,1,1,4,White,6,2007,4,3,3,3,3,4,2,3,3,2,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,45000,65,10,10,10,5,100,3,4,1,1,4,1,4,4,3,1,4,4,3,2,85,1,1,1,2,5
