CaseID$,RESP,TIMEZONE,CATTMPT,KEY,FIPSCODE,MSA,CENDIV,REP,PHONETYP,USRCD,CREGION,DENSITY,FORM,SEX,APPBUSH,COUNTRY,BANKREC,REPNEWS,NEWSORG,HARMMAN,CONMOVE,ENVMOVE,SUPREME,REPPARTY,DEMPARTY,UNITED,GAYMAR,GAYLEG,GAYCONST,MARPUSH,ADOPT,BORNHOM,CHANGE,STANAT,MORNPILL,OUTSCRIP,IRAQFOR,ENVILAWS,ENVIVIEW,WARMDEC,WARMER,WARMPROB,WARMACT,WARMHUM,ISPALCON,INFLUCON,POLMAT,BUSHFAIT,RELAM,RELGOBA,RELEAD,LEADGOBA,DEM_REL,REP_REL,CONPUSH,LIBREL,RELCON,REFPILL,CHRISNAT,CHRISTUS,BIBLAW,ABGEN,ABPOSIT,ABMORAL,ABCOMPRO,ABSTANAT,FEDSTEM,STEMCURE,STEMSTAT,GODLAND,ISJESUS,BELGOD,GODEARTH,POWLIFE,EVOFORM,NATSUP,EVOSCI,TEACHPUB,EVOSTAT,RELIGION,RELIGVER,RELDEM,RELDEM_V,BORN,PENTECOS,CHARISMA,LIB_PROG,RIGHTMOV,LEFTMOVE,ATTEND,REL_IMP,SOABORT,SOIRAQ,SOLAHEX,SOHUNPOV,SOSTEM,SOEVOIN,SOLAIM,SOENVIR,SODEATH,FEELBIB,CHRISTON,PRAYTON,PRAYTON2,SECCOM,RETLIFE,TIMEBIB,RETEARTH,AFRETURN,AGE,EDUC,HISPANIC,POPRACE,RACE,MARITAL,PARENT,INCOME,REGIST,REGICERT,PARTY,PARTYLEA,POLVIEW,VOTE04,BUKESE,OWNRENT,EMPLOY,VETERAN,LABOR,ANCESTRY,ANCESTR2,COUNTRB,COUNTRB2,COUNTFA,COUNTFA2,COUNTMO,COUNTMO2,ZIPCODE,CONTACT,LANGUAGE,ENDDATE,DAY,COMMIT,WEIGHT,GAYMAR_C,MARPUSHC,ABORT,I-AGE,I-ATTEND,I-EDUC,I-GENDER,I-INCOME,I-MARITAL
108,807,1,4,102654,18151,0,3,37,3,3,2,2,1,1,2,2,2,1,,,,,,,,,9,2,,,2,1,2,2,1,2,2,2,6,,,,,,9,,9,1,2,1,,,2,2,,,3,2,1,,2,2,1,2,1,1,1,1,1,2,2,2,,2,1,1,,1,2,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,32,5,2,2,1,1,1,7,1,1,3,9,4,2,,1,1,7,4,,,,,,,,,46737,2,1,60711,3,11,1.195962963,5,5,1,2,6,4,1,7,1
109,813,1,7,103472,12086,33100,5,48,3,2,3,4,2,2,1,2,3,,9,3,5,8,2,8,8,2,2,2,,9,,,,,2,3,9,3,,1,1,1,1,9,,,2,9,,,3,5,9,9,2,2,3,2,,2,2,,,,,,,,,,,1,1,,1,1,1,,,9,,,,,,,,2,,5,1,,,,,,,,,,4,,,,,,,,,29,7,1,1,4,1,1,8,1,1,5,9,9,2,,1,1,7,4,,,,,,,,,33027,2,1,60709,1,6,1.932,1,3,,2,5,7,2,9,1
110,842,2,4,100566,38035,24220,4,8,1,1,2,1,1,1,1,2,1,2,,,,,,,,,3,2,2,,2,1,2,1,1,2,1,2,1,,,,,,1,5,1,3,2,2,,,3,1,,,1,2,1,,2,2,2,1,1,2,1,1,1,2,2,,,,1,1,,2,9,9, <8:Other religion - Non-Christian (SPECIFY)>:Athiest,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,58,7,2,2,1,5,2,7,1,1,3,1,1,1,1,1,1,7,4,,,,,,,,,58201,1,1,60709,1,11,0.497,3,4,1,4,6,7,1,7,5
111,903,1,2,110341,18003,23060,3,140,1,1,2,3,1,2,2,2,3,9,,,,,,,,,1,1,,2,1,1,2,9,2,2,2,2,5,,,,,,4,3,1,1,3,2,,,1,3,,,2,2,2,,2,1,2,3,2,1,2,1,1,2,2,,,,1,1,,2,1,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,31,6,2,2,1,1,2,4,2,,2,,4,1,2,2,3,7,4,,,,,,,,,46835,1,1,60710,2,11,1.020962963,1,1,1,2,6,6,2,4,1
112,904,1,1,111581,36111,28740,2,156,1,1,1,2,2,2,2,1,3,,2,2,3,2,2,3,2,1,1,1,,2,,,,,2,2,2,2,1,1,1,1,1,9,,,1,1,,,1,2,2,1,1,1,3,2,,1,2,,,,,,,,,,,1,2,,1,1,1,,,9,,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,29,6,2,2,1,5,2,3,2,,2,,3,1,3,1,3,7,4,,,,,,,,,12401,2,1,60710,2,10,1.161,1,1,,2,5,6,2,3,5
113,914,1,2,110372,45077,24860,5,140,3,2,3,2,1,1,1,2,2,2,,,,,,,,,2,1,,1,2,3,1,1,1,2,2,2,5,,,,,,1,5,2,1,2,1,,,1,3,,,1,2,1,,2,2,1,9,1,2,1,1,1,2,2,1,1,,1,1,,1,1,9,,,,,,,,,2,3,3,1,1,1,1,2,1,2,1,1,3,,,,,,,,,20,5,2,2,1,5,2,2,2,,3,2,5,2,,2,1,7,4,,,,,,,,,29460,1,1,60710,2,8,1.381962963,1,2,1,1,3,4,1,2,5
114,989,1,4,101126,12093,0,5,16,1,3,3,1,2,1,2,2,1,,1,2,4,2,4,4,3,4,1,1,,2,,,,,1,1,2,2,5,1,1,1,1,2,,,1,1,,,1,2,1,1,1,2,1,2,,2,2,,,,,,,,,,,2,,1,1,1,1,,,9,,,,,,,,2,,6,3,,,,,,,,,,3,,,,,,,,,34,5,2,2,1,5,2,8,1,1,3,2,5,1,2,1,1,7,4,,,,,,,,,34974,1,1,60710,2,11,1.020962963,1,1,,2,6,4,1,9,5
115,992,1,6,102289,39061,17140,3,32,1,2,2,5,2,1,1,1,2,,2,1,3,2,2,2,2,2,2,2,,1,,,,,2,3,1,2,3,1,1,1,1,1,,,1,3,,,1,2,1,1,1,1,3,1,,1,2,,,,,,,,,,,1,1,,1,1,2,,,9,,,,,,,,2,,4,3,,,,,,,,,,3,,,,,,,,,29,6,2,2,1,1,1,6,1,1,1,,3,1,1,1,1,7,4,,,,,,,,,45243,1,1,60710,2,9,1.578,1,2,,2,4,6,1,6,1
116,995,1,3,103953,47009,28940,6,54,1,2,3,2,2,2,2,2,2,,2,2,4,2,3,4,2,2,2,1,,1,,,,,2,3,2,2,1,1,1,2,1,2,,,1,3,,,1,2,2,1,1,2,1,2,,1,2,,,,,,,,,,,,,,1,2,1,,,9,,,,,,,,2,,5,3,,,,,,,,,,3,,,,,,,,,44,3,2,2,1,1,1,3,1,1,2,,4,1,2,1,3,2,4,,,,,,,,,37803,1,1,60710,2,10,1.659,1,2,,3,5,3,2,3,1
117,1073,4,3,107929,6077,44700,9,107,3,1,4,3,1,2,1,1,2,2,,,,,,,,,2,2,,1,3,1,2,2,2,3,1,1,1,,,,,,1,3,1,1,2,2,,,3,1,,,2,2,1,,2,1,1,3,1,2,2,1,1,1,1,,,,1,1,,2,2,9,,,,,,,,,2,6,3,,,,,,,,,,3,,,,,,,,,53,6,2,2,1,1,2,7,1,1,1,,3,1,1,1,3,7,4,,,,,,,,,95207,2,1,60710,2,11,0.497,1,2,1,4,6,6,2,7,1
